,fLength,fWidth,fConc1,fM3Long,fAlpha,fDist,class
0,158.312,46.8503,0.1555,141.528,2.9828,106.176,1
1,24.8738,19.3399,0.1648,-13.6964,31.2269,68.9708,0
2,43.6872,20.4355,0.2482,34.2563,71.4563,158.894,1
3,19.1636,9.9135,0.4277,-14.4368,24.6194,228.02,0
4,34.6563,21.1375,0.1528,29.9303,24.765,55.6633,0
5,56.484,23.799,0.1389,36.9168,73.4803,111.9264,1
6,238.202,95.1143,0.0199,-142.109,88.1881,286.833,1
7,12.9516,11.0089,0.4614,-6.9576,27.5273,162.27100000000002,1
8,39.0894,22.4388,0.161,9.4193,10.505999999999998,133.345,0
9,78.3645,32.9876,0.077,15.4703,34.7235,153.3301,1
10,216.8868,93.9395,0.0519,-152.3833,28.7696,166.265,1
11,173.882,72.4744,0.0733,196.643,67.5281,191.605,1
12,31.502,13.576,0.2815,-12.2638,88.3349,206.0526,1
13,169.747,32.3063,0.3519,-155.558,12.4205,253.122,1
14,25.0766,15.1314,0.2277,16.6171,20.4432,169.707,0
15,20.2643,16.5704,0.27,18.3715,12.4856,204.254,0
16,62.9978,39.3379,0.2309,-33.3566,19.8975,300.4438,1
17,81.4835,27.3376,0.1761,-30.9463,6.3243,353.048,0
18,27.2244,11.9221,0.2373,20.8847,1.6146,189.699,0
19,65.541,22.516,0.2438,-25.133000000000003,1.423,323.5516,1
20,12.6161,11.8178,0.3642,-7.2472,65.013,198.666,0
21,20.2095,12.6471,0.2556,8.9677,10.6952,227.206,1
22,34.7405,11.5225,0.2697,20.7494,12.6698,128.282,0
23,22.0722,10.7539,0.2801,17.765,6.6616,204.261,1
24,215.1743,102.3745,0.0381,152.7208,89.7163,162.8776,1
25,21.4807,6.7982,0.4249,13.5509,38.6659,98.2402,1
26,44.5915,14.6315,0.201,-24.2456,6.6863,183.489,0
27,190.003,57.3551,0.0572,-93.0602,75.7876,243.901,1
28,19.2274,10.2241,0.4108,15.4282,61.45399999999999,188.82,1
29,22.3966,15.2822,0.2942,15.2297,18.996,118.244,0
30,58.4422,19.6955,0.1953,-59.4655,19.889,190.746,0
31,20.5966,17.8906,0.2944,20.3017,45.299,244.401,0
32,25.1685,23.4817,0.1518,-19.1357,72.786,121.01,0
33,21.1063,6.6598,0.4737,15.6882,7.8499,150.165,0
34,40.2526,15.3646,0.1419,16.8333,73.9986,233.5299,1
35,21.7072,7.8764,0.2166,21.3202,50.5844,161.373,1
36,33.7757,17.5674,0.2458,-25.8761,1.314,231.062,0
37,20.2999,8.2207,0.3973,19.4298,52.414,147.8757,1
38,21.88,10.4753,0.2874,16.7449,7.041,125.935,0
39,110.4091,25.138,0.1332,78.3212,16.5937,284.8169,1
40,22.9757,14.8362,0.3879999999999999,19.6848,16.534000000000002,143.194,0
41,114.176,96.2985,0.3057,-129.515,60.221,412.636,1
42,96.5547,23.1913,0.1076,99.3906,1.5716,278.802,0
43,77.982,16.512999999999998,0.1391,55.5577,14.4624,270.126,1
44,117.546,48.6587,0.0845,-117.82,28.412,323.658,1
45,89.5857,43.8501,0.0405,79.7874,1.2147,219.917,0
46,21.843000000000004,9.901,0.3239,15.3604,6.251,155.282,0
47,34.3305,17.4936,0.2059,31.6675,17.7258,256.083,1
48,114.427,14.5557,0.2005,-103.334,51.8893,173.274,1
49,13.068,10.6084,0.487,-3.5096,75.237,194.547,1
50,163.4418,50.7677,0.1579,-127.0888,33.5233,175.0866,1
51,34.6454,8.0247,0.2715,-14.0368,34.4267,200.5275,1
52,52.5855,13.1735,0.311,-41.4743,89.3695,229.851,1
53,38.2553,10.8926,0.2218,34.4629,1.2447,177.764,0
54,67.0577,35.8086,0.1073,31.277,7.3095,283.958,0
55,12.9801,10.8815,0.4723,6.0371,30.803,78.2618,1
56,50.6363,22.112,0.2023,45.6706,2.6594,258.334,1
57,94.2369,17.6341,0.1612,50.552,1.854,302.219,0
58,31.3662,15.6784,0.2328,25.3387,9.4083,203.315,0
59,66.4347,17.664,0.2162,67.7566,10.237,219.291,0
60,43.4047,8.0794,0.213,24.416,12.8929,111.09,1
61,55.1056,44.6224,0.0767,45.6519,1.1528,52.1409,0
62,17.9477,12.9279,0.377,14.8981,41.8467,123.624,1
